"_federal_accountability_status"	overall_grade	additional_credit	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	_quality_review_score	school_level_	_school_support_organization
In Good Standing	A	6	A	35.80	85.6	Rosa Casiello O'Day	48.2	02M042	B	P.S. 042 BENJAMIN ALTMAN	11.5	19.9	A	2	ESMS	A	Outstanding	Elementary School	ICI
In Good Standing	B	3	A	2.80	53.7	Martin Florsheim	27.6	02M047	F	"\""47\"" THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LANGUAGE HIGH SCHOOL"	10.6	12.5	B	2	ESMS	C	Underdeveloped with Proficient Features	Middle School	ESO
In Good Standing	B	2	A	1.62	55.8	Martin Florsheim	37.2	02M047	F	THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LANGUAGE HIGH SCHOOL	10.4	6.2	A	2	HS	D	Underdeveloped with Proficient Features	High School	ESO
In Good Standing	A	0	A	48.57	66.2	Nancy Sing Bock	34.8	02M051	B	P.S. 051 ELIAS HOWE	12.4	19	A	2	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	C	0	B	19.80	33.3	Adele Schroeter	10.6	02M059	B	P.S. 059 BEEKMAN HILL INTERNATIONAL	9	13.7	D	2	ESMS	B	Well Developed	Elementary School	ICI
In Good Standing	A	0	B	11.74	69.5	Renay Sadis	39.9	02M077	A	P.S. 77 LOWER LAB SCHOOL	7.8	21.8	A	2	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	B	2.25	B	14.10	57	Veronica Najjar	31.5	02M089	C	P.S. 89	8.5	14.7	B	2	ESMS	B	Proficient	Elementary School	ESO
In Good Standing	B	2.25	B	3.51	53.4	Rosemarie Gaetani	28.8	02M104	B	J.H.S. 104 SIMON BARUCH	7.4	14.9	B	2	ESMS	B	Proficient	Middle School	ESO
In Good Standing	B	2.25	C	53.64	60.5	Irma Medina	36.7	02M111	A	P.S. 111 ADOLPH S. OCHS	7.2	14.3	A	2	ESMS	B	Proficient	K-8	ICI
In Good Standing	B	0	A	3.87	65.7	David Getz	32.5	02M114	A	EAST SIDE MIDDLE SCHOOL	11.3	21.9	B	2	ESMS	A	Well Developed	Middle School	ESO
In Good Standing	C	0	B	19.64	39.3	Jane Hsu	12.4	02M116	A	P.S. 116 MARY LINDLEY MURRAY	8.1	18.8	D	2	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	0	A	25.73	64.8	Alice Hom	34.3	02M124	A	P.S. 124 YUNG WING	10.8	19.7	A	2	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	A	7.5	B	42.92	76.4	Kerry Decker	42.7	02M126	C	P.S. 126 JACOB AUGUST RIIS	8.4	17.8	A	2	ESMS	A	Well Developed	K-8	ICI
In Good Standing	A	2.25	A	26.84	81.1	Lily Woo	46.7	02M130	A	P.S. 130 HERNANDO DE SOTO	13.2	18.9	A	2	ESMS	A	Outstanding	Elementary School	ESO
Restructuring - Year 3	A	5.25	B	3.33	66	Phyllis Tam	38.9	02M131	B	M.S. 131	9.1	12.7	A	2	ESMS	C	Well Developed	Middle School	ESO
In Good Standing	A	0	A	14.72	88.8	Maggie Siena	56.6	02M150	C	P.S. 150	11.8	20.4	A	2	ESMS	A	Proficient	Elementary School	ESO
In Good Standing	B	0	C	20.79	56	Darryl Alhadeff	30.5	02M158	B	P.S. 158 BAYARD TAYLOR	5.4	20.1	B	2	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	B	4.5	B	3.54	64.5	Jennifer Rehn	36.7	02M167	C	J.H.S. 167 ROBERT F. WAGNER	7.3	16	A	2	ESMS	B	Well Developed	Middle School	ESO
In Good Standing	A	2.25	A	17.54	70.9	Mary Anne Sacco	44.2	02M183	A	P.S. 183 ROBERT L. STEVENSON	10.2	14.2	A	2	ESMS	B	Proficient	Elementary School	ESO
In Good Standing	B	0.75	D	45.61	51.5	Sharon Jeffrey Roebuck	33.9	02M198	C	P.S. 198 ISADOR E. IDA STRAUS	4.6	12.2	A	2	ESMS	B	Well Developed	Elementary School	ICI
In Good Standing	A	3.75	A	25.37	82.9	Dean Ketchum	51.2	02M212	A	P.S. 212 MIDTOWN WEST	12.9	15	A	2	ESMS	B	Well Developed	Elementary School	ICI
In Good Standing	C	4.5	B	35.50	47.4	Mandana Beckman	22.3	02M217	B	P.S./I.S. 217 ROOSEVELT ISLAND	8.1	12.5	C	2	ESMS	C	Well Developed	K-8	ESO
In Good Standing	C	3	A	42.92	46.5	Laura Garcia	23.5	02M225	B	ELLA BAKER SCHOOL	11	9	C	2	ESMS	D	Well Developed	K-8	ESO
In Good Standing	A	2.25	B	10.27	64.7	Lisa Ripperger	35.2	02M234	B	P.S. 234 INDEPENDENCE SCHOOL	8.6	18.6	A	2	ESMS	A	Proficient	Elementary School	ICI
In Good Standing	B	0	A	3.86	65.4	Rhonda Perry	33.2	02M255	C	M.S. 255 SALK SCHOOL OF SCIENCE	11.2	21	B	2	ESMS	A	Well Developed	Middle School	ESO
In Good Standing	A	2.25	A	3.54	79.2	Jeanne Marie Fraino	41	02M260	A	M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS	11.3	24.6	A	2	ESMS	A	Proficient	Middle School	ESO
In Good Standing	A	10	B	2.31	82.7	Roger Turgeon	48.4	02M288		FOOD AND FINANCE HIGH SCHOOL	8.6	15.7	A	2	HS	B	Proficient	High School	ESO
In Good Standing	A	2.25	A	3.69	66.1	Ellen Foote	35.7	02M289	D	I.S. 289	10.2	17.9	A	2	ESMS	A	Well Developed	Middle School	ESO
In Good Standing	A	1.5	A	12.96	78.9	Sharon Hill	47	02M290	A	P.S. 290 MANHATTAN NEW SCHOOL	12	18.4	A	2	ESMS	A	Well Developed	Elementary School	ICI
